parent,name,type
,54802,
54802,54801,1
54802,54574,1
54802,80739,1
80739,81622,1
80739,92217,1
81622,81617,1
81617,81615,1
81615,54436,1
54436,54435,1
54436,54437,1
54436,138748,1
138748,138704,1
138704,138678,1
138704,165177,1
165177,686370,1
54574,54573,1
54573,54571,1
54571,54575,1
54571,79878,1
79878,79877,1
79878,55193,1
79878,165191,1
79878,665154,1
665154,665153,1
665153,665152,1
165191,165186,1
55193,55192,1
55193,165180,1
55193,165181,1
55193,165182,1
55192,55189,1
55189,678636,1
55189,678637,1
54575,54576,1
54801,55043,1
54801,54569,1
54569,54570,1
54569,54768,1
54569,54907,1
54569,55020,1
54569,59859,1
54569,80741,1
54569,80743,1
54569,80744,1
54569,80796,1
54569,81738,1
54569,81914,1
54569,126070,1
54569,134608,1
134608,134606,1
134608,89133V,1
134606,134588,1
134588,53169,1
53169,53168,1
53169,496633,1
126070,126069,1
126069,92029,1
126069,138681,1
126069,138706,1
138706,138681,1
138706,685893,1
138706,691125,1
685893,685891,1
685893,685894,1
685893,685895,1
685893,435940,1
685893,685896,1
685893,685897,1
685893,689669,1
92029,92009,1
81914,81913,1
81913,81912,1
81738,83860,1
81738,138515,1
81738,665156,1
665156,665155,1
665156,138754,1
138754,138752,1
138754,685892,1
138752,69071,1
69071,53862,1
69071,149937,1
69071,65186,1
69071,149938,1
138515,138512,1
138512,50772,1
50772,50771,1
83860,83863,1
83863,83865,1
83865,83866,1
83866,83867,1
80796,80746,1
80796,80798,1
80796,80031,1
80796,80799,1
80031,80030,1
80031,89133R,1
80031,158670,1
80031,158694,1
80031,665157,1
158694,158670,1
89133R,89128,1
89128,83292,1
83292,86928,1
80030,80029,1
80746,80747,1
80746,80748,1
80746,80749,1
80746,80750,1
80746,80751,1
80746,81918,1
80746,162947,1
162947,89077,1
81918,81917,1
81917,81901,1
80744,128142,1
80741,80745,1
55020,79873,1
55020,138762,1
138762,138761,1
138761,138759,1
138761,54771V,1
138759,65194,1
138759,690529,1
138759,690530,1
138759,690531,1
138759,690532,1
138759,690533,1
79873,79872,1
79872,79853,1
54907,54906,1
54906,54905,1
54768,54769,1
54768,129099,1
54768,144694,1
54768,158604,1
158604,143774,1
143774,143776,1
143774,144689,1
54769,54770,1
54769,54772,1
54772,54773,1
54773,133512,1
54773,133513,1
54773,133514,1
54773,133515,1
54773,133516,1
54773,133517,1
54773,133518,1
54773,133519,1
54773,133520,1
54773,133521,1
54773,133522,1
54773,133523,1
54773,133524,1
54773,133525,1
54773,133526,1
54773,133528,1
54773,133529,1
54773,133530,1
54773,133531,1
54773,133532,1
54773,133533,1
54773,133534,1
54773,133535,1
54773,133536,1
54773,685890,1
133525,144761,1
54770,54771R,1
54570,54572,1
54570,79916,1
54570,92564,1
79916,79912,1
79916,79953,1
79916,80249,1
79916,271459,1
271459,271454,1
271454,271401,1
271401,118985,1
271401,118986,1
271401,118988,1
271401,118989,1
271401,118990,1
271401,118987,1
271401,118984,1
80249,80248,1
80248,80247,1
80247,80245,1
80245,80244,1
80245,79906,1
79906,79788,1
79953,79951,1
79912,79909,1
79912,80241,1
79912,82271,1
80241,80240,1
79909,79905,1
79909,92010,1
92010,92011,1
54572,79914,1
79914,101250,1
101250,101249,1
55043,55044,1
